,id,label,n_tweets,n_mentions,country
651,2640,randreynolds,2,1, USA
653,2644,linguists4pete,1,0, USA
654,2647,munozjose,1,23, USA
655,2648,rafnarr,1,0, USA
656,2653,emtz86,2,0, USA
657,2658,thomascavaness,2,0, USA
658,2659,not_her_again_,2,0, USA
659,2665,arexismc,2,0,United States
660,2669,kelcybeckstrom,2,0, USA
661,2671,au_jams,2,0, USA
662,2674,carmen_xx,1,0, USA
663,2675,asus10mm,4,6,France
665,2678,xocokrispies,4,0, Mexico
666,2685,kyrkau,1,0, USA
667,2686,winningwithwolf,2,0, USA
668,2687,kim0512,2,0, USA
669,2689,finnsspilot,1,0, USA
670,2692,annalyngraceful,1,0, USA
671,2693,manish_aftab143,10,1, India
672,2704,maniacal_zebra,2,0, USA
673,2709,andytoronto,14,0, USA
685,2712,pathcarcer,1,1, Philippines
686,2714,dnagcdcocom,4,0, USA
687,2725,cchlooef,1,0, USA
688,2729,heresybythought,1,0, USA
689,2730,vico9209,1,0, Mexico
690,2752,valeriall23,3,0, Spain
691,2779,majovillamayorc,1,0, Paraguay
692,2784,arnaucerda,1,0, Spain
693,2789,josh_dellaquila,1,0, USA
694,2791,vit_let1,1,0, Brazil
695,2794,joebeamday,2,0, USA
697,2804,twinnerventures,1,0, Canada
698,2813,oof_im_alive,1,0, USA
699,2817,djdemchuk,1,0, USA
700,2819,sofiaisrahel,1,0, Paraguay
701,2821,simcall72,0,13, France
705,2822,teenartache,1,0, USA
706,2823,planete8,4,2,France
710,2826,sethnkevin,1,0,United States
711,2830,nchocho_,1,0, Thailand
712,2834,taki_n_thepis_s,1,0, Australia
713,2838,soph_4president,1,0, USA
714,2847,kelvinmero13,2,0, Ecuador
715,2849,xtrixcyclex,1,0, USA
716,2850,cmclymer,2,5, USA
717,2854,basica64,2,0, USA
718,2861,bonillal1,1,0,Canada
719,2868,danilo_sanches,3,0, Brazil
720,2873,bidduha24,1,0, Thailand
721,2878,honeyrose956,1,0, USA
722,2883,donnie_howe,1,0,United States
723,2887,dmzhukova,1,0, USA
724,2890,rwgreer,1,0, USA
725,2895,seansadrai2000,1,0,United States
726,2898,rainbow_rats,1,0, Philippines
728,2905,iluvgrnday,4,0, USA
729,2912,zennixienta,1,0,Colombia
730,2915,rdpl,2,1, Canada
731,2926,mmiezz_,2,0,Thailand
732,2930,eyebagwolf,1,0,Chile
733,2934,etpams,1,0, USA
734,2943,loryn75,2,0, USA
735,2946,emocanadian,1,0, Canada
736,2948,baxterkangaroo,1,0, USA
737,2958,ralphcapital_,1,0, Philippines
738,2961,jologalay,1,0, USA
739,2964,rmgianfortune,1,0, USA
740,2973,outoftheazul,1,0, USA
741,2992,musical_ego,1,0, USA
742,2993,zaraidleman,2,0,South Africa
744,2995,ivana22248142,1,0,Switzerland
745,2997,elanacurl,3,0, USA
746,3001,duhlaykneeee,1,0, USA
747,3006,feednthavetime,1,0, USA
748,3011,cordouroydreams,1,0, USA
749,3034,maeritaofc,2,1, Brazil
750,3043,gonzoonthebeach,2,0, USA
752,3047,gunnogunno,1,0, Sweden
753,3048,simplyslycc,1,0, USA
754,3054,jamesmasaon,1,0,United States
755,3060,whenalexsmiles,1,0, USA
756,3070,jameslamont22,1,0, USA
757,3074,markell86631902,1,0, USA
758,3083,justfatyyy12,1,0, USA
759,3086,hmgwriting,3,0, UK
760,3096,3cr_inyaface,5,3, Australia
762,3099,ocaldwell,3,0, USA
763,3103,bewitchparanoia,1,0,India
764,3107,pozvibes4u,12,7, USA
765,3109,writevent,1,0, USA
766,3115,chanjubx92,2,0, New Zealand
767,3119,2lindamaria,1,0,Netherlands
768,3131,fujidnzo,1,0, Philippines
769,3133,jmw3883,1,0, USA
770,3135,aurelie_lb56,2,0, France
771,3141,thisisbrittni13,1,0, USA
772,3146,mvlouscorner,1,0,Denmark
773,3148,mariteeqmx,1,0, USA
774,3152,r3dw1z4rd,1,1, USA
775,3153,silastheegonad,1,0, USA
776,3159,debbieeland,1,0, USA
777,3161,elainebeare,2,0,Ireland
778,3175,lchannel_,4,20,Japan
786,3176,itsme_cherie93,1,0, Philippines
787,3177,hanjangho76,1,0, USA
788,3187,isellshoes_,1,0, Nigeria
789,3189,bkj_thevonbraun,1,0, USA
790,3198,acdelion,2,0, France
791,3207,aquarius1049,2,0, USA
793,3210,shino_okamura,1,0, Japan
794,3211,rukakplv97,4,0, Japan
796,3218,zagatdancer,2,0, USA
798,3222,gtrlondondating,2,0, UK
799,3225,megjohnbarker,5,1, UK
800,3229,samartian30,1,0, India
801,3235,preenph,1,0, Philippines
805,3240,wannaone_kanya,1,0, United States
806,3242,tubonglipa,1,0, Philippines
807,3247,dumplisa,1,0, Canada
808,3251,itsmepyn,1,0, USA
809,3261,ificanthveyou,1,0, USA
810,3262,vikaswebexpert,2,0,India
811,3269,775chi,2,0, Japan
813,3271,lilrx933,1,0, USA
814,3282,mishilen,1,0, USA
815,3288,goblues2018,1,0, USA
816,3295,the_bby__,2,0,South Africa
817,3305,conficland,1,0, Thailand
818,3323,rico_e_mimado,1,0, Portugal
819,3326,lifeafterdawn,1,0, USA
