,from, to, weight, directed
429,569,496,1,True
430,570,570,1,True
431,571,572,1,True
432,571,573,1,True
433,571,574,1,True
434,575,575,1,True
435,575,576,1,True
436,577,578,1,True
437,577,262,1,True
438,577,579,1,True
439,577,580,1,True
440,581,582,1,True
441,583,584,1,True
442,585,21,1,True
443,586,494,2,True
444,587,588,1,True
445,589,590,1,True
446,589,591,1,True
447,592,593,1,True
448,592,594,1,True
449,592,595,1,True
450,596,597,1,True
451,30,598,3,True
452,498,599,1,True
453,498,600,1,True
454,601,602,1,True
455,601,603,1,True
456,601,604,1,True
457,605,606,1,True
458,605,607,1,True
459,608,609,1,True
460,610,611,1,True
461,612,611,1,True
462,613,611,1,True
463,614,615,1,True
464,616,617,1,True
465,618,619,1,True
466,620,611,1,True
467,621,109,1,True
468,622,611,1,True
469,623,624,1,True
470,623,625,1,True
471,623,626,1,True
472,623,627,1,True
473,623,628,1,True
474,629,630,1,True
475,631,611,1,True
476,632,134,1,True
477,633,611,1,True
478,634,635,1,True
479,636,611,2,True
480,637,638,1,True
481,316,639,1,True
482,602,601,1,True
483,602,602,1,True
484,602,603,1,True
485,602,604,1,True
486,640,641,1,True
487,640,642,1,True
488,643,196,1,True
489,643,393,1,True
490,644,645,1,True
491,646,647,1,True
492,648,649,1,True
493,650,651,1,True
494,650,652,1,True
495,650,653,1,True
496,654,47,1,True
497,655,656,1,True
498,655,657,1,True
499,655,658,1,True
500,655,659,1,True
501,655,660,1,True
502,661,662,1,True
503,663,126,1,True
504,663,127,1,True
505,664,601,1,True
506,664,602,1,True
507,664,603,1,True
508,664,604,1,True
509,665,637,1,True
510,665,638,1,True
511,666,667,1,True
512,668,611,1,True
513,669,611,1,True
514,670,670,1,True
515,671,672,1,True
516,673,611,1,True
517,674,237,1,True
518,675,676,1,True
519,675,677,1,True
520,675,678,1,True
521,675,679,1,True
522,680,101,1,True
523,680,102,1,True
524,681,682,1,True
525,683,470,1,True
526,684,94,1,True
527,684,95,1,True
528,685,11,1,True
529,686,687,1,True
530,686,686,1,True
531,688,611,1,True
532,689,682,1,True
533,689,690,1,True
534,689,691,1,True
535,689,692,1,True
536,693,611,1,True
537,694,611,1,True
538,695,696,1,True
539,697,698,1,True
540,699,700,1,True
541,701,702,1,True
542,701,262,1,True
543,703,704,2,True
544,703,705,2,True
545,706,707,1,True
546,708,109,1,True
547,709,710,1,True
548,711,712,1,True
549,713,714,1,True
550,703,715,1,True
551,716,21,1,True
552,717,718,1,True
553,719,494,1,True
554,720,696,1,True
555,721,722,1,True
556,721,721,1,True
557,723,724,1,True
558,723,725,1,True
559,723,726,1,True
560,727,728,2,True
561,729,730,1,True
562,729,731,1,True
563,732,733,1,True
564,734,735,1,True
565,734,736,1,True
566,737,637,1,True
567,737,638,1,True
568,738,739,1,True
569,740,741,1,True
570,740,477,1,True
571,742,97,1,True
572,743,611,1,True
573,744,611,1,True
574,745,746,1,True
575,747,748,1,True
576,747,749,1,True
577,750,109,1,True
578,751,611,1,True
579,752,33,1,True
580,752,34,1,True
581,752,35,1,True
582,752,753,1,True
583,752,754,1,True
584,752,755,1,True
585,752,756,1,True
586,752,757,1,True
587,752,758,1,True
588,752,759,1,True
589,752,760,1,True
590,761,762,1,True
591,763,271,1,True
592,763,764,1,True
593,765,766,1,True
594,767,696,1,True
595,768,109,1,True
596,769,447,1,True
597,769,448,1,True
598,770,771,1,True
599,772,667,1,True
600,773,774,1,True
601,775,776,1,True
602,777,778,1,True
603,777,779,3,True
604,133,133,3,True
605,780,21,1,True
606,781,782,1,True
607,783,784,1,True
608,785,237,1,True
609,786,766,1,True
610,787,696,2,True
611,788,733,1,True
612,789,718,1,True
613,789,252,1,True
614,789,790,1,True
615,791,109,1,True
616,792,792,1,True
617,793,734,1,True
618,793,735,1,True
619,793,736,1,True
620,794,21,1,True
621,795,611,1,True
622,796,797,1,True
623,798,798,1,True
624,799,800,1,True
625,801,802,1,True
626,803,21,1,True
627,804,805,1,True
628,806,807,2,True
629,806,808,2,True
630,806,809,2,True
631,810,109,1,True
632,811,805,1,True
633,812,8,2,True
634,812,813,1,True
635,812,814,1,True
636,812,815,1,True
637,812,816,1,True
638,817,818,1,True
639,817,11,1,True
640,819,820,1,True
641,821,822,1,True
642,823,824,1,True
643,825,309,1,True
644,825,826,1,True
645,482,827,2,True
646,828,829,1,True
647,830,472,1,True
648,831,805,1,True
649,832,833,1,True
650,834,835,1,True
651,834,836,1,True
652,837,838,1,True
653,837,839,1,True
654,840,840,1,True
655,807,808,7,True
656,841,842,1,True
657,843,844,1,True
658,845,846,1,True
659,847,44,1,True
660,847,45,1,True
661,848,849,4,True
662,848,850,1,True
663,851,852,1,True
664,853,853,1,True
665,854,855,1,True
666,856,857,1,True
667,858,805,1,True
668,859,19,1,True
669,860,861,1,True
670,860,862,1,True
671,863,309,1,True
672,863,826,1,True
673,864,865,1,True
674,866,715,1,True
675,867,868,1,True
676,867,869,1,True
677,867,870,1,True
678,867,871,1,True
679,867,872,1,True
680,867,873,1,True
681,867,874,1,True
682,875,682,1,True
683,876,877,1,True
684,878,114,1,True
685,879,11,1,True
686,880,881,1,True
687,882,606,1,True
688,882,607,1,True
689,883,606,1,True
690,883,607,1,True
691,884,885,1,True
692,884,886,1,True
693,887,109,1,True
694,888,774,1,True
695,889,844,1,True
696,890,891,1,True
697,890,892,1,True
698,890,893,1,True
699,894,895,1,True
700,896,897,1,True
701,896,898,1,True
702,896,899,1,True
703,896,900,1,True
704,901,902,1,True
705,903,904,1,True
706,903,905,1,True
707,906,907,1,True
708,906,908,1,True
709,906,909,1,True
710,910,696,1,True
711,911,911,1,True
712,911,912,1,True
713,913,914,1,True
714,915,611,1,True
715,916,917,1,True
716,918,611,1,True
717,919,608,1,True
718,919,609,1,True
719,920,47,1,True
720,921,922,1,True
721,923,611,1,True
722,924,925,1,True
723,926,927,1,True
724,928,611,1,True
725,929,927,1,True
726,930,931,1,True
727,930,932,1,True
728,933,376,1,True
729,934,935,1,True
730,934,936,1,True
731,937,938,1,True
732,939,611,1,True
733,940,696,1,True
734,941,109,1,True
735,942,942,2,True
736,943,943,1,True
737,943,376,1,True
738,944,945,1,True
739,946,947,1,True
740,948,949,1,True
741,950,78,1,True
742,951,952,1,True
743,953,954,1,True
744,955,956,1,True
745,957,376,1,True
746,958,945,1,True
747,959,956,1,True
748,960,961,1,True
749,960,962,1,True
750,963,964,1,True
751,965,309,1,True
752,965,826,1,True
753,966,877,1,True
754,967,617,1,True
755,968,945,1,True
756,969,877,1,True
757,970,935,1,True
758,970,936,1,True
759,971,935,1,True
760,971,936,1,True
761,972,78,1,True
762,973,974,1,True
763,975,667,1,True
764,976,977,1,True
765,978,977,1,True
766,979,977,1,True
767,980,376,1,True
768,981,982,6,True
769,981,611,2,True
770,983,984,1,True
771,985,844,1,True
772,986,94,1,True
