id,label,n_tweets,n_mentions
888,rldarden,1,0
889,scrofanhoe,1,0
890,ladytofglencoe,3,0
891,onthesauceagain,0,1
892,danmagro,0,1
893,brentingby,0,1
894,vratleyledragon,1,0
895,zillionross,0,1
896,beckykraemer,4,0
897,oxygen,0,1
898,oxygencrimetime,0,1
899,jamespolchin,0,1
900,counterpointllc,0,1
901,aleximelvin,1,0
902,diabetesmine,0,1
903,irwinelman,2,0
904,cheyratnam,0,1
905,senecacollege,0,1
906,musicofddv2,3,0
907,guitarist_mag,0,1
908,electro_voice,0,1
909,rupert_neve,0,1
910,nemesismess,1,0
911,mysixthfinger,2,1
912,spacedotcom,0,1
913,eliffing1,1,0
914,didem_tali,0,1
915,mairaramosf,1,0
916,hammerhannond,1,0
917,geniastevens,0,6
918,leoquijas,1,0
919,ba_cook55,2,0
920,kunchinjung,1,0
921,d0mpit0,3,0
922,allafricanlgbtq,0,51
923,df_sonorense,1,0
924,velocb,1,0
925,yogawithadriene,0,1
926,ppzx3012,1,0
927,milanslive,1,4
928,woifistar,1,0
929,agapeyy,1,0
930,se25a,2,0
931,aldoyh,0,1
932,marcowenjones,0,1
933,tonethbermejo,1,0
934,cherokeeapachec,2,0
935,lgbtplusproud,4,17
936,zsllondonzoo,0,17
937,nlgjadc,1,0
938,nelliesdc,0,1
939,madshaws,1,0
940,flamerunn3r,1,0
941,wtkps,1,0
942,indianprojectny,2,2
943,deadscrimshaw,2,1
944,hambredehombres,1,0
945,lainventadamx,0,11
946,lit_wetts2,1,0
947,thelostdick16,0,1
948,aubbss23,1,0
949,rashap7,0,5
950,srinivasulugol,1,0
951,honeybad07,1,0
952,lord_molyneaux2,0,1
953,luisaamanda,1,0
954,pilsen_callao,0,1
955,robynmlinde,1,0
956,lambdalegal,0,20
957,dintlemagasa_,1,0
958,ozhcar,1,0
959,sirdanielj,1,0
960,pawegucik,2,0
961,agatakowalskatt,0,1
962,radio_tok_fm,0,1
963,jholland15,1,0
964,ukkaleidoscope,0,14
965,utetris,2,0
966,fodido_diario,1,0
967,limitedbaudrey,1,0
968,ignacio40462696,3,0
969,beafox03,1,0
970,titan_steven09,2,0
971,choiisurs,2,0
972,eva_nyiri,1,0
973,amybalbierz,1,0
974,mountsinaiwhri,0,1
975,clementhrg,1,0
976,fairyvomitttt,1,0
977,bitlifeapp,0,12
978,pandagirl3100,1,0
979,sydneyparris3,1,0
980,itssummers,2,0
981,madhatter094,14,1
982,netflix,0,12
983,nerdyflow,3,0
984,dafluffytzombie,0,1
985,vaeltaja5,1,0
986,khelelee,2,0
987,dreadpirateb,1,0
988,eurotradition,0,2
989,coppolastefano,1,0
990,alice_472,2,0
991,thymbraeus,2,0
992,atomicfirebird,0,1
993,theleonamaple,0,1
994,gingerwombat,3,0
995,anglrsg9,1,0
996,luna_selas,0,10
997,jlchaisson,1,0
998,peiypnetwork,0,1
999,yogascorpio1,12,0
1000,deniseraygadas,1,0
1001,marais_hugs,1,0
1002,greysabc,0,39
1003,lombrana_alyssa,1,0
1004,garcia_alamar,0,1
1005,patty656656,3,0
1006,rociomelisa29,1,0
1007,rendowgird,1,0
1008,wwfprimetimenow,0,2
1009,sennedjemcos,6,1
1010,curlyfoureyes,0,1
1011,miss_extremis,0,1
1012,kittumcos,0,1
1013,hattedhedgehog,0,1
1014,yogur_team,0,1
1015,imbechi,1,0
1016,nordiskamuseet,4,1
1017,larissa_borck,0,1
