id,label,n_tweets,n_mentions
18187,7iggo,0,1
18188,dn9201,1,0
18189,__zombgirl,0,1
18190,alex4molly7,1,0
18191,allendeisrael,0,2
18192,gamh95,1,0
18193,lauren31tay,1,0
18194,jordan_knabe,0,1
18195,hilarieashton,1,0
18196,mendemiliaco,1,0
18197,natalyalulu,1,0
18198,clarigeli,0,1
18199,kari030492,1,0
18200,jaza__,0,1
18201,stherushcomes,1,0
18202,fleischpraline,1,0
18203,gohonaitenshi,2,0
18204,desulmanardine,1,0
18205,brofftfans,5,0
18206,ryo_ya_0501,1,0
18207,takk_x_x,0,1
18208,erinmaloneype,2,0
18209,sierrrrraj,1,0
18210,diego_no100,1,0
18211,blake_col,1,0
18212,emi_olivares,1,0
18213,a14in_,1,0
18214,nan_pelaez,1,0
18215,zte_berndt,1,0
18216,bokdepato,1,0
18217,boyerkarencita,1,0
18218,sisivazquez,2,0
18219,albertoydani,1,0
18220,crissfap,0,1
18221,ratoncitobombon,1,0
18222,yensolis21,1,0
18223,elsyhuertas,1,0
18224,matutemx,0,3
18225,acal_chan,1,0
18226,davijardimpraz,1,0
18227,cindy_reyes94,3,0
18228,yu2norz,2,0
18229,mytweetside,1,0
18230,blancallh,2,0
18231,isainovelo,1,0
18232,joelythefairy,1,0
18233,kianasnoangel,0,2
18234,lourentomregui,1,0
18235,jorgeml19,1,0
18236,lalaumana,1,0
18237,jloeraguillen,1,0
18238,msemestrosa,1,0
18239,icymochaboi,1,0
18240,organizerrs,1,0
18241,yhannaaguilar,1,0
18242,stompoutbullyng,0,5
18243,vircas10,1,0
18244,faty_migueles,1,0
18245,hectorfuersamx,3,0
18246,perlalc26,1,0
18247,el_doncruz,0,5
18248,obviojaguars,3,0
18249,unice_acut23,1,0
18250,2016_fandom,2,0
18251,nuumb17,2,0
18252,jelly_hines,1,0
18253,urieliky,1,0
18254,luisfer8512,1,0
18255,kquegarci,2,0
18256,abrahamisaac,2,0
18257,irisprize,0,1
18258,pinewoodstudios,0,1
18259,sierraaa_nico,1,0
18260,ogxpop,0,2
18261,kareliacuervo,1,0
18262,crazy_and_dream,1,0
18263,zulaymolina,0,1
18264,lauraquetzalli,1,0
18265,aamyelliott_amy,1,0
18266,cerezzadiaz,1,0
18267,virginiacrdova4,2,0
18268,ruthrob3,1,0
18269,louiseg50923392,1,0
18270,haurrubi,1,0
18271,afrodisiak4,2,0
18272,bubbadiuff,1,0
18273,patiepot27,2,0
18274,moondancer1626,0,1
18275,rachelluc890,2,0
18276,wicho_mateo,1,0
18277,daisyday94,2,0
18278,brokenangelk19,1,0
18279,angeloflord_cas,0,1
18280,haley_turnerx,6,0
18281,cbcams,0,1
18282,sexylauragirls,0,1
18283,realfreewebcams,0,1
18284,tdavis2935,0,1
18285,thepirates_x,0,1
18286,balthazar_re,2,0
18287,bearshunt,1,0
18288,dnnis_reyes,1,0
18289,burly_burr,1,0
18290,tombolus,1,0
18291,angie__delgado,1,0
18292,javiguanarteme,1,0
18293,yasscadena10,1,0
18294,sorryimlexi,2,0
18295,queenozymandias,1,0
18296,fer_solofer,1,0
18297,natashadasha,1,0
18298,ciudaddemex,0,2
18299,eduardo09664810,1,0
18300,reddiegetsetgo,1,0
18301,kesharose,0,1
18302,queerguru,3,1
18303,aaronhamburger,0,1
18304,threeroomspress,0,1
18305,tinker281,1,0
18306,mrt_can28,1,0
18307,huntybunches,2,0
18308,paulrabil,0,1
18309,uninterrupted,0,1
18310,acolin90,1,0
18311,adrianawall,0,1
18312,castelltete,1,0
18313,nelzalez,1,0
18314,claudiamenesesd,0,1
18315,jdjewell10,1,0
18316,sugeilykth19,1,0
18317,rvogt1_cba,3,0
18318,i2polan,0,1
18319,linchisc,0,1
18320,sense8,0,1
18321,migclado,1,0
18322,thorpolov,1,0
18323,raspatuit,0,1
18324,ironicscreams,2,0
18325,josegil35346575,1,0
18326,avidsupport,1,0
18327,d_lakruis,1,0
18328,amreyes18,1,0
18329,cecilia__sg,0,1
18330,viantrejo,1,0
18331,isragali,1,0
18332,davidr1406,1,0
18333,tinythalis,1,0
18334,gishingvalox,1,0
18335,liluskikus3,2,0
18336,hache64446,1,0
18337,redecuj,0,1
18338,alzogarayga,1,0
18339,comvatt_123,3,0
18340,bookagencymx,0,1
18341,yosoymich03,3,0
18342,maffiguer,1,0
18343,djloudpack_,2,0
18344,heathertwitch,2,2
18345,twitchonline,0,1
18346,lindazabala17,1,0
18347,saenz_herre,1,0
18348,querida_hormiga,1,0
18349,everybodystvres,1,0
18350,caudein,2,0
18351,markcsoup,3,0
18352,javier_dlfuente,1,0
18353,yuranimolina4,1,0
18354,roy_van_,1,0
18355,jacdeswilliams,1,0
18356,carmcancel,3,0
18357,chenoa,0,2
18358,tdblgtbi,0,2
18359,joepepper05,1,0
18360,rcnradio,0,1
18361,caesar27bc,1,0
18362,jsiemss,1,0
18363,siemprediva1980,1,0
18364,josuenegron77,1,0
18365,jdlooove,1,0
18366,moonpuff1,2,0
18367,kguijosa1,1,0
18368,sarahamoga,1,0
18369,kcchattr,0,8
18370,melissadct1,2,0
18371,letsandreapzs1,1,0
18372,hans_christian4,1,0
18373,xadihg,1,0
18374,vanessabauche,0,1
18375,anghelusz,1,0
18376,julsvalfan,1,0
18377,ailan81,0,1
18378,tamrynspruill,11,0
18379,dorothyjgentry,0,1
18380,imanitrishawn_,0,1
18381,brooke_bun,0,1
18382,daela_kavis3,0,1
18383,brian_agler,0,1
18384,greg_bibb,0,1
18385,erinphillips131,0,1
18386,missarob43,0,1
18387,crobber3,0,1
18388,sfi1983,2,0
18389,trump454545,0,1
18390,jeremyacrosby,0,1
18391,leoruetsche,1,0
18392,okuzantem,0,1
18393,aerxnxlga,1,0
18394,betobeltraan,1,0
18395,stillbangtanddl,3,0
18396,kitten_cosmos,1,0
18397,satchatuk,1,0
18398,remember_the_1,0,1
18399,marymcloughlinn,1,0
18400,univofdayton,0,1
18401,thehope4545,1,0
18402,comeroe,0,1
18403,littlerius98,1,0
18404,wti_n_ng,2,0
18405,suave_malcriado,1,0
18406,aniepaulinna,0,1
18407,mmbenitezc,2,0
18408,perhec,1,0
18409,moi_lu,1,0
18410,fontanall,2,0
18411,landais_cedric,1,0
18412,julicombaluzier,0,2
18413,pameliperalta,1,0
18414,caitlyn_biersac,3,0
18415,changuitobot,1,0
18416,eutychus_troas,1,0
18417,mooniesnow,4,0
18418,xbluepoison_,0,1
18419,julietav,1,0
18420,wordgirl_live,1,0
18421,casal_ricky,1,0
18422,yahirmusic,0,3
18423,anonimograce,0,24
18424,tellez_alan,1,0
18425,nasdaqcontinuos,1,0
18426,fernand67813467,3,0
18427,marlon_danieldt,1,0
18428,andrea127859930,1,0
18429,manonfinot,2,0
18430,samara_atc,1,0
18431,antoniodiaz921,3,0
18432,confirebeldesx,0,1
18433,ahorapodemos,0,1
18434,conseilartscan,1,0
18435,icimusique,0,1
18436,kaffie_villano,1,0
18437,bieberxmuller,2,0
18438,sara_alvarezt,1,0
18439,liliangbts,1,0
18440,queenaluxundre,0,1
18441,diegol90mx,1,0
18442,heykayemawree,2,0
18443,fisherboy656,2,0
18444,guimaraespamela,1,0
18445,oliviapilar,0,1
18446,cachola_krista,1,0
18447,angeladawn_18,0,1
18448,66s66e,1,0
18449,tite_bite,0,1
18450,finleyfreibert,3,0
18451,sinolanda,6,0
18452,aeonian_v,0,1
18453,thekevinfluence,2,0
18454,yellowcely,1,0
18455,auumusicmin,0,2
18456,jaydentyanne,2,0
18457,yolourdes13,1,0
18458,juakita007,0,2
18459,julsxvale,3,0
18460,karloskiddo,1,0
18461,laush_d,1,0
18462,andrelaminins,3,0
18463,sebasotelo_,1,0
18464,vaneillescas,1,0
18465,martharuthamaro,1,0
18466,hantvictor,1,0
18467,therabbitandth1,1,0
18468,creuzanunes772,1,0
18469,fer_paredes99,1,0
18470,verozmbi,1,0
18471,gaislivex,0,1
18472,khadiidk,2,0
18473,lakar_acola,1,0
18474,mightynacho,2,0
18475,pipe_monsalve0,1,0
18476,mi2_ri,1,0
18477,albaverdu2,1,0
18478,ruthparticipa,0,1
18479,barbarena25,1,0
18480,iambarbilover,0,1
18481,marceloleiva,4,0
18482,hannorhb,1,0
18483,david17off,1,0
18484,leonamine8,1,0
18485,conquistacimas,1,0
18486,tonvan_29,1,0
18487,secjr112,1,0
18488,0ryuge,0,1
18489,meinadam,1,0
18490,belltaj_,0,1
18491,rodsteelofficia,11,0
18492,cathedralofhope,0,1
18493,revdrneilthomas,0,1
18494,seanbaugh,0,1
18495,chrischism,0,1
18496,tedcruz,0,1
18497,govabbott,0,1
18498,betoorourke,0,1
18499,jiwright2015,0,1
18500,stoopidboi,0,1
18501,mgm_417,1,0
18502,abrillop,1,0
18503,maytegranda_,1,0
18504,mariafernandamp,0,23
18505,apereat,1,0
18506,jeamylaura,4,0
18507,vignattijeamy,0,1
18508,avonct1,2,0
18509,josieholford,0,1
18510,abc6,0,1
18511,leotaurino,1,0
18512,_gabo212,1,0
18513,charly_mancia,0,1
18514,wiingsofasong,1,0
18515,jessy38810542,1,0
18516,miloxemiliaco,1,0
18517,kristellejoysa4,2,0
18518,soydanesmanur,1,0
18519,reforma,0,1
18520,lisazah1,1,0
18521,bttmsupremacist,2,0
18522,yamycasas,1,0
18523,joseplunajl,1,0
18524,dayanna0804,1,0
18525,joaquinmendozay,1,0
18526,almasol77139453,1,0
18527,vicovivas,0,1
18528,isabelarvide,0,1
18529,countryboots126,1,0
18530,laurieberkner,0,1
18531,mor24792,1,0
18532,yirkosivirich,0,1
18533,davidperalr,1,0
18534,krissynachelle,2,0
18535,barrettpall,0,1
18536,exmuslimaiden,2,0
18537,imtishams,0,1
18538,exmuslimsorg,0,1
18539,yellow_blade,1,0
18540,_auro_mf_,1,0
18541,niallerrosed,1,0
18542,mafelanegra,1,0
18543,mex_jonas,1,0
18544,dogduffy,1,0
18545,waynepdd,2,0
18546,dianne__ladyd,0,1
18547,marshawright,0,1
18548,taquitoou98,1,0
18549,guscabrerard,1,0
18550,lesbiantomboy,2,0
18551,bigeag44,1,0
18552,chbtlv67,1,0
18553,jnmezzo,2,0
18554,isabel2761,1,0
18555,isa_plata03,1,0
18556,foolish4harry,2,0
18557,andybo06,1,0
18558,naiie_10127,1,0
18559,raulgarciatv,0,63
18560,terfblocker,1,0
18561,kenglish95,0,1
18562,raulm_cr,1,0
18563,ariellopez1976,1,0
18564,nicole_00x,1,0
18565,marco12778111,1,0
18566,ponle_,1,0
18567,richkrupse,1,0
18568,luisayara6,1,0
18569,lucerofeathaash,1,4
18570,haashoficial,0,10
18571,alejand29218965,1,0
18572,tony17328263,1,0
18573,yimara_perez,1,0
18574,nashelyhernnde1,1,0
18575,lachyjin,5,0
18576,elana_buck,0,1
18577,jiminspvrk,0,1
18578,dulcecacher_16,1,0
18579,aishleytisdale,1,0
18580,blxeonblck,0,1
18581,erikacanulku,1,0
18582,reinspirado,0,4
18583,mari_cacher16,1,0
18584,benjami75592732,1,0
18585,mueganobarbon,0,7
18586,princesseva43,1,0
18587,dianna1ma,1,0
18588,zoeymikaeluhhh,1,0
18589,entreletras2018,1,0
18590,selenagwine,1,0
18591,eentertainment,0,1
18592,karlasanquin,1,0
18593,mexfamac,2,2
18594,angieyomera,0,2
18595,yesenia_rj,1,0
18596,ktns28513,1,0
18597,juliimangiaruca,1,0
18598,lulumm18,2,0
18599,zelldixon,0,2
18600,pegope40,1,0
18601,heeeetamam,1,0
18602,arcentel,1,0
18603,aadarlo_,1,0
18604,srogueeel,0,1
18605,sesarina24,1,0
18606,aracelyarambula,0,3
18607,karigg7,1,0
18608,theo__bc,2,0
18609,chievaleer,2,0
18610,spread_rainbows,2,0
18611,shunuen,1,0
18612,moorudel,1,0
18613,ppluna620,1,0
18614,imanoldz,1,0
18615,sheyla00211839,1,0
18616,alejandrabarn4,1,0
18617,totsyyy18,1,0
18618,shamans_ap,1,0
18619,taejoonlover,1,0
18620,kahdnjhaksdn,1,0
18621,celinas63014961,1,0
18622,marysunchasseur,1,0
18623,juligonzalezgir,1,0
18624,charlyrive,1,0
18625,oh__honey__,1,0
18626,ghost08231,1,0
18627,ayeitskaithlyn,1,0
18628,myiaclark2432,0,1
18629,jvllnsm,1,0
18630,memobarrueta,1,0
18631,marandurz,0,1
18632,hellenh17193202,1,0
18633,didier_aldo,1,0
18634,jesusgar,1,0
18635,bieberxcakehdgs,1,0
18636,kacakmarlboro,1,0
18637,greciagh55,1,0
18638,maryk196051,1,0
18639,jvonathan,1,0
18640,louisxharryf,1,0
18641,metalhead1133,1,0
18642,markgoulston,0,1
18643,iamperezjose,1,0
18644,soy_rocksters,1,0
18645,yaircris,1,0
18646,leonardoros16,0,1
18647,crankthatemorat,2,0
18648,jayisdrowning,0,1
18649,erichism,1,0
18650,abernalsre,9,0
18651,sehunftmanu,1,0
18652,darboscalante,1,0
18653,celita_mi,1,0
18654,jung_dianita,1,0
18655,reijimeji,1,0
18656,lehcxip,1,0
18657,_diaryngjadine_,2,0
18658,cachersxramon,1,0
18659,barcelo1393,1,0
18660,conejitoneftali,1,0
18661,habloyoosola,1,0
18662,queen_slayla,2,0
18663,dinahjaneworldw,0,2
18664,dinahjane97,0,2
18665,jadefrasermx,0,1
18666,lauzk12,1,0
18667,sofiaoffice958,1,0
18668,plattbroadway,5,0
18669,adubreuze,2,0
18670,ruhee_w,1,0
18671,elizavillacis1r,1,0
18672,valeria_vz97,1,0
18673,juanamartinezh,0,126
18674,inspired_gs,1,0
18675,lr4889,1,0
18676,ospitia08,1,0
18677,pochil7,1,0
18678,ntdi4z,1,0
18679,deltorwah,1,0
18680,lilminkurs,1,0
18681,stardewvalieys,1,0
18682,ron_nirenberg,0,1
18683,carocrt,1,0
18684,grazia747,0,2
18685,paulavcb,1,0
18686,viento_rubio,1,0
18687,swiftiegiri,0,1
18688,po_denisse,1,0
18689,yikebbsauria,3,0
18690,mailosmendes,1,0
18691,sleepyjesss,1,0
18692,emihkh,1,0
18693,cacheftlovato,1,0
18694,jennlynn_wilson,1,1
18695,squarejuan,0,2
18696,fridaytea,1,1
18697,romero_zar,1,0
18698,gegegeraldo3,3,0
18699,gay_akira,0,1
18700,aoimusashi634,0,1
18701,batguyjapan,0,1
18702,_luisartiga,1,0
18703,mariogaitan_,0,1
18704,trysexycom,1,0
18705,flashwwoman,3,0
18706,mateosmonica,1,0
18707,riseofbunny,2,0
18708,maribel97811668,1,0
18709,malvinagraham,1,0
18710,laweraliz,1,0
18711,claarag_,1,0
18712,danielyepesg,1,0
18713,mendezmary55,0,1
18714,6clandestino,2,0
18715,420_tenya_wanya,2,0
18716,kebabu92381128,0,2
18717,williamngor,1,0
18718,dany030997,1,0
18719,jrubencanizalez,1,0
18720,dardszc,1,0
18721,mitranaiyu,1,0
18722,themythofpsyche,0,1
18723,insectozaurio,1,0
18724,jacobswartfilms,1,0
18725,themysteryofgf,0,1
18726,lupithadice_,1,0
18727,unitednationxc,1,0
18728,josuemaciasg,1,0
18729,lar_can,2,0
18730,soypaomaya,1,0
18731,s0y_bebe,1,0
18732,libradobelem,1,0
18733,justmonique1981,1,0
18734,yolocuauhtli,1,0
18735,catchy_b,2,0
18736,gracysanchezt,1,0
18737,emm_lopezm12,1,0
18738,abimonzter,1,0
18739,_missmoreno,0,1
18740,uliberts,1,0
18741,proudnerdery,1,0
18742,matthewmercer,0,1
18743,yourfavbigboy,1,0
18744,ladivazabrilla,6,0
18745,youtubemexico,0,10
18746,soyemmma,0,10
18747,knrdx,0,10
18748,lajose,0,10
18749,elyoliendo,0,10
18750,soffiiiih,1,0
18751,lidia_rivas19,1,0
18752,starkwoodslyth,1,0
18753,sariis9,1,0
18754,punishedkomrade,4,0
18755,dpinsen,0,1
18756,ft,0,1
18757,nike,0,3
18758,wokecapital,0,1
18759,mikel_milk,3,0
18760,lili45076534,6,0
18761,dulceaferrer1,1,0
18762,panypanytipanii,0,1
18763,sabrixcache,1,0
18764,jair209_,1,0
18765,stephloison,1,0
18766,julsteph,0,1
18767,lxlyyjh,2,0
18768,yeong70388173,6,0
18769,clarammh,1,0
18770,pablitoius,1,0
18771,spotgabbiani,0,3
18772,heatherparkern3,2,0
18773,gsarafan,0,2
18774,jaen01em,1,0
18775,traveller_girl,2,0
18776,marianaheros,1,0
18777,mooinjust5secs,3,0
18778,magaliaf,1,0
18779,kayeehs,1,0
18780,diversedgirl1,2,0
18781,crashererialc,3,0
18782,marvynegd,2,0
18783,myb_lovee,1,0
18784,santosvalmg,1,0
18785,playmeonrepeat,1,0
18786,mendoza_xo,1,0
18787,cosmonaut_01,1,0
18788,verodolv,1,0
18789,maurocks,1,0
18790,avilalinzan,1,0
18791,javiacuna,0,1
18792,voliaq,1,0
18793,liliana_delp,1,0
18794,walfri,1,0
18795,k_hal_l,1,0
18796,hellohappy0402,1,0
18797,pamfoundation,0,1
18798,im__paco,2,0
18799,dyebrowsemmett,1,0
18800,karinuh_,1,0
18801,_badgalbribrii,0,1
18802,oremorleugim,1,0
18803,hyrumfavela,1,0
18804,carloslaram81,1,0
18805,alejand49958805,0,1
18806,louiseevil,1,0
18807,bts_trashtruck,1,0
18808,jan_tate_,1,0
18809,alanyz12,1,0
18810,jaquiflores19,1,0
18811,lcharmander6239,1,0
18812,danelibl,1,0
18813,dezzmarie95,1,0
18814,nadiapobl,1,0
18815,ahuedfer,1,0
18816,bustedsydney,1,0
18817,lornaphotosnap,0,1
18818,happydrinkymom,1,0
18819,trump_gays,0,7
18820,ts_1d,1,0
18821,unm00min,4,0
18822,humanorururbano,1,0
18823,daylen_cantu_,1,0
18824,indamenro,1,0
18825,vellelove,1,0
18826,mundominorver,0,1
18827,ana_jimenena,0,1
18828,thebeeks,1,0
18829,andrea82645677,1,0
18830,buenapulpin,1,0
18831,jmpumarino,0,5
18832,belleza_maxima_,1,0
18833,almisrf8,1,0
18834,alekzlozza1,15,0
18835,myriammontecruz,0,1
18836,canal_estrellas,0,1
18837,aztecauno,0,1
18838,sokolprod,0,1
18839,dany_cuevas,0,1
18840,hectormartinezl,0,1
18841,carlosmaciasmex,0,1
18842,jeronimosada,0,1
18843,lacademiaazteca,0,1
18844,lasacademia,0,1
18845,programa_hoy,0,1
18846,maxwoodside,0,1
18847,farandula40,0,1
18848,_maniguis,0,1
18849,jereguillen1,1,0
18850,emiliacosthetic,1,0
18851,andreapachecod5,1,0
18852,gabyccarcamo,1,0
18853,marky_balzer,1,0
18854,bigmonstacock4u,1,0
18855,lopzachagabbs,1,0
18856,salmakramos,1,0
18857,jocelyn_gisel,1,0
18858,melissaoudia,2,0
18859,xkaliber4life,1,0
18860,mox__art,0,1
18861,marvillischase,1,0
18862,jorgy9608,1,0
18863,goldlinkkk,2,0
18864,kiskoni,1,0
18865,anikeyfurry,1,1
18866,chelseamex,1,0
18867,ferpagoda,7,0
18868,rlopez1010,1,0
18869,lgbtqnata,0,1
18870,rivasdiego_,1,0
18871,officialmelidam,6,0
18872,nemagapa,1,0
18873,vanesa19363974,1,0
18874,lakeninix_,0,1
18875,xxramonchisxx,1,0
18876,nan_rdzr,1,0
18877,latyngees,2,0
18878,alexemerson1111,1,0
18879,cacherycache18,2,0
18880,luguec,3,0
18881,marthamosc,1,0
18882,vergaraangela_,0,2
18883,jessicalizad,1,0
18884,dannie______eee,1,0
18885,satanssi_,0,1
18886,shanebalmeoo,1,0
18887,salsacaek,1,0
18888,brucarol_95,2,0
18889,brendalynd,1,0
18890,khrisanaki,3,0
18891,videosxxxgay1,0,1
18892,pornogay155,0,1
18893,pornogay,0,1
18894,piskytufis,0,1
18895,gadiel_inn,3,0
18896,bob323la,0,2
18897,aospinad,0,4
18898,monkbot10,1,0
18899,salud_en_casa1,1,0
18900,camitesfayevera,1,0
18901,culturacolectiv,0,1
18902,bryce_xxxl,1,0
18903,angellusnemesis,1,0
18904,dvl_julie2,1,0
18905,camibravoborda,3,0
18906,cristhianafarf1,0,1
18907,ellibrerodealex,0,1
18908,ravenxlocked,0,1
18909,abigail_falcon_,1,0
18910,songsdonotdie,1,0
18911,alexa47586996,1,0
18912,lexybxbyy,1,0
18913,spaldingswife_,0,2
18914,erikglezg,1,0
18915,martin_rc17,1,0
18916,kim4water,1,0
18917,bobreiterjr,0,1
18918,nailahbaker,1,0
18919,lucianagirasoll,0,2
18920,edzubieta,1,0
18921,meiamnor,2,0
18922,finnbalor,0,2
18923,pedroprietotvfc,1,0
18924,pedroprietotv,0,1
18925,isagomro,1,0
18926,mayra55611441,1,0
18927,negroaraiza2,0,4
18928,aranajuliocesar,1,0
18929,catanordaniel,1,0
18930,adrandan,4,0
18931,mounalgazon294,0,1
18932,lfawdawi,0,1
18933,de1iveryguy,0,1
18934,impoxeur2001,0,1
18935,andreagarvaz,1,0
18936,magamanomega,1,0
18937,sixmiilion,0,5
18938,_meperez,1,0
18939,natlovescache,1,0
18940,transmigradah,3,0
18941,nalawesst,1,0
18942,jakurinrin_n,1,0
18943,nonuberis,1,0
18944,courtoiskeila,1,0
18945,pstanquevisch,3,0
18946,thevalkirias,0,1
18947,institutopco,0,1
18948,manuelspereira,0,1
18949,samlightwood96,1,0
18950,mizuki_lv1,1,0
18951,akina_photo,0,2
18952,sushynn,1,0
18953,chpstcknchpstck,2,0
18954,bonzi_priscila,2,0
18955,joeynada76,1,0
18956,yared_perez_,1,0
18957,candy142005,1,0
18958,jorgewolff,1,0
18959,hernameisrocio,1,0
18960,duranduran,0,1
18961,kevhmmm,1,0
18962,jennyaliaga,7,0
18963,shirleyaponteb,1,0
18964,lapesadademoda,1,2
18965,chumacero3,1,0
18966,mconstruyendo,1,2
18967,jaureguilovemee,1,0
18968,mirivillalon,1,0
18969,tonarino96310,1,0
18970,pinapiyo01,0,1
18971,nayeoiramor,3,0
18972,lakegirllifer,1,0
18973,marianasofiaarm,1,0
18974,jazmin_cuscantu,1,0
18975,lodestacadomx,1,0
18976,lanegraa86,0,1
18977,soria_gisella,1,0
18978,jhacii_zunini,1,0
18979,chikis723,1,0
18980,li0frankcliffgz,1,0
18981,luises70,1,0
18982,tamys46,4,0
18983,fmtoday,0,1
18984,pgeorge9601,0,1
18985,tilianker,0,1
18986,azminali,0,1
18987,holalibertad,1,0
18988,linamcaceres,1,0
18989,ketvmina,1,0
18990,citywinerydc,4,0
18991,republicrestore,0,1
18992,translawdc,0,1
18993,transpridedc,0,1
18994,zen_snail,1,0
18995,patycworldwide,1,0
18996,douglas_roger,1,0
18997,fercoppola,1,0
18998,rubenmoreiravdz,0,4
18999,zazu_joshifer,1,0
19000,vicohyland2,3,0
19001,oliviadarling,1,0
19002,shannonannflynn,0,7
19003,prof_umashankar,1,0
19004,88soul88,1,0
19005,18_fireproof,1,0
19006,belindamgxd,1,0
19007,gwabir,0,2
19008,letschatpodcast,1,0
19009,stoptweetingmia,0,1
19010,parrotdog_,1,0
19011,davidhi53600753,1,0
19012,viviana745376,1,0
19013,zamoradani58,2,0
19014,jess_theshyone,2,0
19015,mayavargas,1,0
19016,r3port3ando,1,0
19017,sara_cartagena2,1,0
19018,mariop_66,1,0
19019,467bf0c75c5d443,1,0
19020,yinnalp85,1,0
19021,vanessasp19,1,0
19022,morenza_favio,1,0
19023,melisiaoficial,0,1
19024,sonrie_ponchohd,2,0
19025,viry_p,0,1
19026,derodaniela,1,0
19027,victoria_chg,1,0
19028,arreojuan98,0,1
19029,jair_sanzper,2,0
19030,ozkr8207,1,0
19031,jinsoulsdany,1,0
19032,mikvelvet,0,27
19033,rulomontbrun,2,0
19034,sanchezcastejon,0,1
19035,manzaano,1,0
19036,forestsoceans,2,0
19037,chicagoparks,0,8
19038,chicagosmayor,0,8
19039,mgtkceb,1,0
19040,radioteamofm,5,0
19041,axe,0,1
19042,bancolombia,0,1
19043,wingo,0,1
19044,tiendasara,0,1
19045,almacenesexito,0,1
19046,melannyramirez0,1,0
19047,loonatherevel,1,0
19048,theocolinsparks,1,0
19049,mattchucaro,0,2
19050,97majosiva,1,0
19051,mikaapostol,1,0
19052,duhrelloo03,0,1
19053,mehnotreally,1,0
19054,artemisatellez,1,0
19055,moonflower1323,2,0
19056,lostyutodise,1,0
19057,aqilahpeacebro,1,0
19058,alexorlandogye,1,0
19059,scottfree_17,1,0
19060,paredesrosita,1,0
19061,iammmgroot,1,0
19062,itsmejerico23,0,2
19063,fabiola63734134,1,0
19064,turismologo33,1,0
19065,patt_klderon,0,1
19066,luisnel,1,0
19067,angeles_t18,2,0
19068,yocibou,1,0
19069,saitoh_atsuko,0,1
19070,m_akeitright,1,0
19071,ejtanga,1,0
19072,_cathitax,1,0
19073,javieresparzav,1,0
19074,morboma,1,0
19075,soyxtian,0,1
19076,minnypuckpanda,3,0
19077,pushinweight,0,1
19078,stribsports,0,1
19079,msmorgan1968,0,1
19080,aldapesu,1,0
19081,corazonzavala,1,0
19082,kikaedgar,0,3
19083,krissycoolcat_,1,0
19084,aljimferoficial,1,0
19085,hacialaextinci1,0,1
19086,svetlanafugina,1,0
19087,mmaauuuuuu,1,0
19088,patytwain,3,0
19089,therealcamilleg,2,0
19090,lougimenez16,1,0
19091,angelto78873809,1,0
19092,edegir,1,0
19093,angieb36757524,1,0
19094,ajmwmede,2,0
19095,clawfire,2,0
19096,1drosepetals,1,0
19097,tauro_maturin,3,0
19098,athrougha2,1,0
19099,maedern,2,0
19100,susana_ceci,1,0
19101,mediavillasolme,4,1
19102,gabrieliza27,0,2
19103,sarebasketcase,1,0
19104,tarottiger,1,0
19105,donnabreu,1,0
19106,matty_qu,1,0
19107,althynia,0,1
19108,atolitou,1,0
19109,donatto90,2,0
19110,michaeljackson,0,1
19111,geruko68,1,0
19112,imanarusaka,1,0
19113,kriiiisshh,2,0
19114,nct_bts_forever,1,0
19115,jmaskay,2,0
19116,grungefaux,1,0
19117,shin03161127,2,0
19118,peachjennie1996,0,2
19119,donaldtholmes1,6,0
19120,natimontelongo,0,1
19121,castro4congress,0,1
19122,moveon,0,2
19123,nayeonstoy,1,0
19124,inisuoftheblue,1,0
19125,ida_lid,1,0
19126,jlsteeleauthor,1,0
19127,danielasofalar2,1,0
19128,fany16579238,1,0
19129,guillermoesnal,2,0
19130,juvenilecrime,0,1
19131,globalyouthlgbt,0,1
19132,apescookies,1,0
19133,tavinalpha,1,0
19134,kemrichardson7,2,1
19135,sharon_531,0,1
19136,jendeukilimario,0,2
19137,fcotoscano,1,0
19138,oz_uria,1,0
19139,nungsirima,1,0
19140,rodrigopermar,1,0
19141,inamcoke,1,0
19142,toujoursbellebr,0,1
19143,sodaboard,1,0
19144,mariacgonza10,1,0
19145,adriantrejo94,1,0
19146,raphagrosso_,1,0
19147,pedrofer_92,1,0
19148,loonazone_9,1,0
19149,mandimezanews,2,0
19150,leonardonrnjo,1,0
19151,manuel_galvan,1,0
19152,miguelcarbonell,0,1
19153,jmrc922,4,0
19154,ojelikal,1,0
19155,komomotower,2,0
19156,hannah_barger23,1,0
19157,joshlopez198,2,0
19158,rufflesrama209,1,0
19159,sampuckettu,1,0
19160,coral_princesa,1,0
19161,yuririasierra,0,1
19162,rodasromiii,1,0
19163,settaowsixx,1,0
19164,zigzaggyzagg,1,0
19165,lauradrexler5,2,0
19166,isaacgonz123,1,0
19167,blaubals,3,0
19168,thepoolmx,0,1
19169,miniptx,0,1
19170,walidcanesse,2,0
19171,tianguisde,1,0
19172,kristyintrepide,2,0
19173,johannaa2499,1,0
19174,piercetheasey,0,2
19175,leticiagvera,1,0
19176,javiiuchiha1,1,0
19177,mediocremason,1,0
19178,abyuth216,1,0
19179,mancimancilla,1,0
19180,wryzel,1,0
19181,betopze,1,0
19182,maricardjh,1,0
19183,wndykydlys_,1,0
19184,aleseeya,1,0
19185,martypants8,1,0
19186,bexdehavilland,0,1
19187,carelotsuka1,1,0
